AgentKey,AgentType,TransactionSides,TotalSalesVolume,GCI
139777064.0,REALTOR,2,1276000.0,35728.0
140537844.0,REALTOR,4,2019500.0,56546.0
140538430.0,REALTOR,4,2995000.0,83860.0
140547363.0,REALTOR,1,251000.0,7028.0
142479258.0,REALTOR,2,1335000.0,37380.0
142482638.0,REALTOR,4,3600300.0,100808.40000000001
142898138.0,REALTOR,2,1460000.0,40880.0
143138353.0,REALTOR,5,1956900.0,54793.200000000004
143143823.0,REALTOR,7,3537900.0,99061.2
143146790.0,REALTOR,1,585000.0,16380.0
143918969.0,REALTOR,1,465000.0,13020.0
143919310.0,NON-REALTOR,2,1180000.0,33040.0
143919310.0,REALTOR,1,595000.0,16660.0
143924427.0,REALTOR,2,1276000.0,35728.0
144572617.0,REALTOR,21,12599300.0,352780.4
144572825.0,REALTOR,9,1747500.0,48930.0
148448844.0,REALTOR,1,854500.0,23926.0
149110599.0,REALTOR,5,2778305.0,77792.54000000001
150032359.0,NON-REALTOR,1,580000.0,16240.0
150655294.0,REALTOR,1,590000.0,16520.0
150656768.0,REALTOR,2,841999.0,23575.972
150657654.0,REALTOR,3,1285000.0,35980.0
151574904.0,REALTOR,1,665000.0,18620.0
151577282.0,REALTOR,3,2095000.0,58660.0
151578221.0,REALTOR,8,4559950.0,127678.6
152799762.0,REALTOR,1,813000.0,22764.0
152799770.0,REALTOR,3,1427600.0,39972.8
156760984.0,REALTOR,8,5989700.0,167711.6
156761323.0,REALTOR,1,670000.0,18760.0
156763167.0,REALTOR,7,5453000.0,152684.0
156765490.0,REALTOR,3,1925000.0,53900.0
156767800.0,REALTOR,2,2350000.0,65800.0
156768059.0,REALTOR,1,790000.0,22120.0
156768828.0,REALTOR,8,5526307.0,154736.596
157079369.0,REALTOR,6,5592500.0,156590.0
157080039.0,REALTOR,7,5185125.0,145183.5
157080376.0,REALTOR,3,2039000.0,57092.0
157086709.0,REALTOR,2,1326750.0,37149.0
157089321.0,REALTOR,2,1405000.0,39340.0
157090906.0,REALTOR,2,1415000.0,39620.0
157091416.0,REALTOR,1,635000.0,17780.0
157705297.0,REALTOR,3,1757000.0,49196.0
157706044.0,REALTOR,2,1190000.0,33320.0
157707008.0,REALTOR,5,2378900.0,66609.2
157707127.0,REALTOR,1,527000.0,14756.0
157708390.0,NON-REALTOR,2,684000.0,19152.0
157708390.0,REALTOR,5,2502500.0,70070.0
157715904.0,NON-REALTOR,1,579000.0,16212.0
157715904.0,REALTOR,1,624700.0,17491.600000000002
158952240.0,REALTOR,3,3521200.0,98593.6
158954257.0,REALTOR,7,3362900.0,94161.2
159879444.0,REALTOR,1,850000.0,23800.0
160499139.0,REALTOR,4,1515400.0,42431.200000000004
160500169.0,REALTOR,2,1285000.0,35980.0
160807534.0,REALTOR,2,1500000.0,42000.0
162343182.0,REALTOR,2,1243000.0,34804.0
162350610.0,REALTOR,3,1324000.0,37072.0
162672171.0,REALTOR,3,1768250.0,49511.0
162681164.0,REALTOR,1,875000.0,24500.0
162681649.0,REALTOR,7,2807000.0,78596.0
163310031.0,REALTOR,6,4866000.0,136248.0
163310274.0,REALTOR,2,1470000.0,41160.0
163315173.0,REALTOR,1,265000.0,7420.0
163315233.0,REALTOR,6,3315000.0,92820.0
164284781.0,REALTOR,12,4082530.0,114310.84
