AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
137840553.0,REALTOR,2024,1,885000.0,26550.0
137840955.0,REALTOR,2024,5,3617000.0,102876.0
137840977.0,REALTOR,2024,2,1270000.0,35560.0
137842243.0,REALTOR,2024,7,4033900.0,116191.2
137848636.0,NON-REALTOR,2024,2,1520000.0,45600.0
137849272.0,REALTOR,2024,4,1942900.0,57407.0
138027538.0,REALTOR,2024,3,1368200.0,41046.0
138597290.0,REALTOR,2024,1,538000.0,15064.0
139188248.0,REALTOR,2024,4,2511000.0,73788.0
139188362.0,REALTOR,2024,13,2080220.0,60883.16
139193116.0,REALTOR,2024,2,782000.0,22476.0
139196893.0,REALTOR,2024,2,2142800.0,61284.0
139775823.0,REALTOR,2024,8,6854500.0,198125.0
139777064.0,REALTOR,2024,6,4656400.0,131944.2
140537802.0,REALTOR,2024,5,1858350.0,55010.5
140537844.0,REALTOR,2024,2,815000.0,23680.0
140538430.0,REALTOR,2024,7,6458500.0,186188.0
140545295.0,NON-REALTOR,2024,1,340000.0,10200.0
140547363.0,REALTOR,2024,3,1142000.0,33170.0
142479258.0,NON-REALTOR,2024,3,1262000.0,35336.0
142482638.0,REALTOR,2024,9,11973633.0,348832.99
142485573.0,REALTOR,2024,1,550000.0,15400.0
142903586.0,REALTOR,2024,1,375000.0,10500.0
143083830.0,NON-REALTOR,2024,1,635000.0,17780.0
143138353.0,REALTOR,2024,7,4558300.0,132111.2
143138774.0,REALTOR,2024,1,355000.0,10650.0
143143823.0,REALTOR,2024,6,4203500.0,120730.0
143146790.0,REALTOR,2024,1,243500.0,7305.0
143918969.0,NON-REALTOR,2024,3,1450000.0,41550.0
143919310.0,NON-REALTOR,2024,4,3358000.0,98310.0
143919463.0,NON-REALTOR,2024,1,338200.0,9469.6
143921044.0,NON-REALTOR,2024,1,415000.0,12450.0
143924427.0,REALTOR,2024,3,1383000.0,39452.0
144572617.0,REALTOR,2024,33,22392300.0,667179.0
144572825.0,REALTOR,2024,7,2801500.0,80891.0
145567209.0,REALTOR,2024,3,2588000.0,73084.0
148397872.0,REALTOR,2024,2,1220000.0,35380.0
148448844.0,NON-REALTOR,2024,3,3203000.0,89684.0
148503923.0,REALTOR,2024,1,520000.0,15600.0
149110599.0,REALTOR,2024,3,1975000.0,55300.0
150654941.0,REALTOR,2024,2,2325000.0,68830.0
150656768.0,REALTOR,2024,1,480000.0,14400.0
150657654.0,NON-REALTOR,2024,7,3109000.0,87052.0
150657654.0,REALTOR,2024,1,425000.0,12750.0
151577282.0,REALTOR,2024,11,5858336.0,169168.09
151578221.0,REALTOR,2024,12,7684000.0,227950.0
152799762.0,REALTOR,2024,1,530000.0,15900.0
156143342.0,REALTOR,2024,1,505000.0,15150.0
156760984.0,REALTOR,2024,6,4616000.0,138480.0
156761323.0,REALTOR,2024,2,863500.0,24178.0
156763167.0,REALTOR,2024,11,7289695.0,209550.46
156765490.0,REALTOR,2024,1,425000.0,12750.0
156767800.0,REALTOR,2024,2,1200000.0,36000.0
156768059.0,NON-REALTOR,2024,2,1150000.0,34500.0
156768828.0,REALTOR,2024,4,3344899.0,98377.17
156769690.0,NON-REALTOR,2024,1,710000.0,21300.0
157079369.0,REALTOR,2024,1,800250.0,24007.5
157080039.0,REALTOR,2024,9,7489500.0,222685.0
157086709.0,REALTOR,2024,1,435000.0,13050.0
157091416.0,REALTOR,2024,2,1255900.0,35165.2
157706044.0,REALTOR,2024,1,940000.0,26320.0
157707008.0,REALTOR,2024,6,3770000.0,113100.0
157708390.0,NON-REALTOR,2024,4,2187175.0,63740.9
157715904.0,NON-REALTOR,2024,1,515000.0,15450.0
158951276.0,REALTOR,2024,1,585000.0,17550.0
158952240.0,REALTOR,2024,9,9072655.0,262499.65
158954257.0,REALTOR,2024,5,3027000.0,85976.0
159879444.0,NON-REALTOR,2024,2,2625000.0,76800.0
160499139.0,REALTOR,2024,11,6727000.0,193688.0
162343182.0,REALTOR,2024,8,4029076.0,115184.128
162350610.0,REALTOR,2024,2,1351000.0,39568.0
162681164.0,REALTOR,2024,3,2830000.0,83000.0
162681649.0,REALTOR,2024,2,872000.0,26160.0
163297991.0,NON-REALTOR,2024,1,187000.0,5610.0
163299901.0,NON-REALTOR,2024,2,850000.0,23800.0
163299901.0,REALTOR,2024,1,340000.0,9520.0
163310031.0,REALTOR,2024,7,5082500.0,146795.0
163310274.0,REALTOR,2024,7,3961900.0,115742.2
163315233.0,REALTOR,2024,3,1515600.0,44152.8
164284781.0,REALTOR,2024,12,3543000.0,104953.0
164286169.0,REALTOR,2024,4,2230000.0,64430.0
164914632.0,REALTOR,2024,8,6734500.0,194395.0
