Period,Avg Sales Volume (All),Avg Sides (All),Avg GCI (All),Avg Sales Volume (REALTOR),Avg Sides (REALTOR),Avg GCI (REALTOR),Avg Sales Volume (NON-REALTOR),Avg Sides (NON-REALTOR),Avg GCI (NON-REALTOR)
Pre Oct 2023–Mar 2024,1557109.3555095762,2.4764178471006417,45156.1713097777,1647649.5421788893,2.583368659036315,47921.28537869154,1284158.1729499467,2.153993610223642,36820.19164387647
Pre Apr–Sep 2024,2800860.592669577,4.236541259613386,81224.98940525185,3182328.1682336465,4.714742948589718,92558.99221724345,1940902.7977452085,3.1585118376550168,55674.288139346114
Post Oct 2024–Mar 2025,1625756.6886642994,2.4828735318219066,47146.96770794865,1737494.9404661825,2.608100878868934,50560.49252839128,1345661.8563218392,2.168965517241379,38590.26803831418
